"GENDER","CATEGORY","ATHLETE","RESULT_SPORT_1","RESULT_T_1","RESULT_SPORT_2","RESULT_T_2","RESULT_SPORT_3","RESULT_FINAL","RANKING_OVERALL","RANKING_OVERALL_SPORT_1","RANKING_OVERALL_SPORT_2","RANKING_OVERALL_SPORT_3","RANKING_OVERALL_T_1","RANKING_OVERALL_T_2","RANKING_OVERALL_AFTER_T_1","RANKING_OVERALL_AFTER_SPORT_2","RANKING_OVERALL_AFTER_T_2","RANKING_CATEGORY","RANKING_CATEGORY_SPORT_1","RANKING_CATEGORY_SPORT_2","RANKING_CATEGORY_SPORT_3","RANKING_CATEGORY_T_1","RANKING_CATEGORY_T_2","RANKING_CATEGORY_AFTER_T_1","RANKING_CATEGORY_AFTER_SPORT_2","RANKING_CATEGORY_AFTER_T_2","RANKING_GENDER","RANKING_GENDER_SPORT_1","RANKING_GENDER_SPORT_2","RANKING_GENDER_SPORT_3","RANKING_GENDER_T_1","RANKING_GENDER_T_2","RANKING_GENDER_AFTER_T_1","RANKING_GENDER_AFTER_SPORT_2","RANKING_GENDER_AFTER_T_2","RACE_ID","COUNTRY"
"Men","Men20-29","CALLUM DARBY",512.517,NA,1974.714,NA,NA,3559.153,1,1,1,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,1,NA,"2026-06-28_VXBCX","CA"
"Men","Men30-39","MAXIME LEMIRE",559.358,NA,2003.68,NA,NA,3647.868,2,2,4,NA,NA,NA,NA,2,NA,1,1,2,NA,NA,NA,NA,1,NA,2,2,4,NA,NA,NA,NA,2,NA,"2026-06-28_VXBCX","CA"
"Men","Men40-49","ROMUALD LE CALONNEC",578.208,NA,2032.991,NA,NA,3758.006,3,3,5,NA,NA,NA,NA,3,NA,1,1,1,NA,NA,NA,NA,1,NA,3,3,5,NA,NA,NA,NA,3,NA,"2026-06-28_VXBCX","CA"
"Men","Men50-59","YVES FILION",606.888,NA,1985.544,NA,NA,3833.823,4,5,2,NA,NA,NA,NA,4,NA,1,1,1,NA,NA,NA,NA,1,NA,4,5,2,NA,NA,NA,NA,4,NA,"2026-06-28_VXBCX","CA"
"Men","Men30-39","BRYCE MK HUDSON",613.199,NA,2002.613,NA,NA,3929.777,5,7,3,NA,NA,NA,NA,5,NA,2,2,1,NA,NA,NA,NA,2,NA,5,6,3,NA,NA,NA,NA,5,NA,"2026-06-28_VXBCX","CA"
"Men","Men40-49","DIEGO ALCUBIERRE GONZALEZ",589.468,NA,2337.94,NA,NA,4064.555,6,4,21,NA,NA,NA,NA,7,NA,2,2,5,NA,NA,NA,NA,2,NA,6,4,20,NA,NA,NA,NA,6,NA,"2026-06-28_VXBCX","CA"
"Women","Women40-49","DIANE IOANNOU",646.225,NA,2156.862,NA,NA,4125.126,7,12,9,NA,NA,NA,NA,6,NA,1,1,1,NA,NA,NA,NA,1,NA,1,2,1,NA,NA,NA,NA,1,NA,"2026-06-28_VXBCX","CA"
"Men","Men50-59","JAMES DELODDER",663.382,NA,2212.351,NA,NA,4152.367,8,17,12,NA,NA,NA,NA,8,NA,2,4,4,NA,NA,NA,NA,2,NA,7,13,11,NA,NA,NA,NA,7,NA,"2026-06-28_VXBCX","CA"
"Men","Men40-49","ADRIAN JOSEPH",667.067,NA,2206.783,NA,NA,4173.619,9,18,11,NA,NA,NA,NA,10,NA,3,6,2,NA,NA,NA,NA,3,NA,8,14,10,NA,NA,NA,NA,9,NA,"2026-06-28_VXBCX","CA"
"Men","Men20-29","JACOB BRAY",620.724,NA,2272.425,NA,NA,4173.995,10,8,17,NA,NA,NA,NA,14,NA,2,2,2,NA,NA,NA,NA,2,NA,9,7,16,NA,NA,NA,NA,13,NA,"2026-06-28_VXBCX","CA"
"Men","Men50-59","CHRISTIAN HELLER",650.92,NA,2120.374,NA,NA,4184.845,11,14,8,NA,NA,NA,NA,12,NA,3,3,3,NA,NA,NA,NA,4,NA,10,11,8,NA,NA,NA,NA,11,NA,"2026-06-28_VXBCX","CA"
"Men","Men50-59","SHAWN KIMMEL",643.792,NA,2256.419,NA,NA,4193.017,12,11,15,NA,NA,NA,NA,13,NA,4,2,5,NA,NA,NA,NA,5,NA,11,10,14,NA,NA,NA,NA,12,NA,"2026-06-28_VXBCX","CA"
"Men","Men30-39","MARK ALVIN TAYAG",703.281,NA,2109.933,NA,NA,4201.55,13,26,6,NA,NA,NA,NA,9,NA,3,3,3,NA,NA,NA,NA,3,NA,12,21,6,NA,NA,NA,NA,8,NA,"2026-06-28_VXBCX","CA"
"Men","Men50-59","DAN REES",671.735,NA,2115.215,NA,NA,4207.672,14,20,7,NA,NA,NA,NA,11,NA,5,5,2,NA,NA,NA,NA,3,NA,13,16,7,NA,NA,NA,NA,10,NA,"2026-06-28_VXBCX","CA"
"Men","Men40-49","ANDY ROBERTS",643.365,NA,2253.024,NA,NA,4234.804,15,10,14,NA,NA,NA,NA,15,NA,4,4,3,NA,NA,NA,NA,4,NA,14,9,13,NA,NA,NA,NA,14,NA,"2026-06-28_VXBCX","CA"
"Men","Men40-49","CHRISTOFFER JULIAN",670.498,NA,2290.266,NA,NA,4294.103,16,19,19,NA,NA,NA,NA,16,NA,5,7,4,NA,NA,NA,NA,5,NA,15,15,18,NA,NA,NA,NA,15,NA,"2026-06-28_VXBCX","CA"
"Men","Men40-49","KINGSLEY CHAK",627.031,NA,2394.793,NA,NA,4375.849,17,9,24,NA,NA,NA,NA,24,NA,6,3,7,NA,NA,NA,NA,7,NA,16,8,23,NA,NA,NA,NA,23,NA,"2026-06-28_VXBCX","CA"
"Women","Women20-29","DANA GARLAND",647.338,NA,2426.183,NA,NA,4378.883,18,13,27,NA,NA,NA,NA,25,NA,1,2,1,NA,NA,NA,NA,1,NA,2,3,2,NA,NA,NA,NA,2,NA,"2026-06-28_VXBCX","CA"
"Men","Men20-29","CALEB LAVOIE",689.593,NA,2397.88,NA,NA,4385.83,19,23,25,NA,NA,NA,NA,18,NA,3,3,3,NA,NA,NA,NA,3,NA,17,19,24,NA,NA,NA,NA,17,NA,"2026-06-28_VXBCX","CA"
"Men","Men60-69","JAN DE VISSER",720.206,NA,2198.411,NA,NA,4389.474,20,29,10,NA,NA,NA,NA,17,NA,1,2,1,NA,NA,NA,NA,1,NA,18,23,9,NA,NA,NA,NA,16,NA,"2026-06-28_VXBCX","CA"
"Men","Men50-59","HAROLD WALKER",727.611,NA,2277.421,NA,NA,4397.276,21,30,18,NA,NA,NA,NA,19,NA,6,8,6,NA,NA,NA,NA,6,NA,19,24,17,NA,NA,NA,NA,18,NA,"2026-06-28_VXBCX","CA"
"Men","Men40-49","MICHAEL SHAY",661.732,NA,2370.13,NA,NA,4436.813,22,16,23,NA,NA,NA,NA,22,NA,7,5,6,NA,NA,NA,NA,6,NA,20,12,22,NA,NA,NA,NA,21,NA,"2026-06-28_VXBCX","CA"
"Men","Men60-69","SERGIO ARANGO",755.542,NA,2322.006,NA,NA,4450.981,23,32,20,NA,NA,NA,NA,20,NA,2,4,4,NA,NA,NA,NA,2,NA,21,26,19,NA,NA,NA,NA,19,NA,"2026-06-28_VXBCX","CA"
"Men","Men60-69","PETER WILLARD",698.213,NA,2258.746,NA,NA,4452.273,24,25,16,NA,NA,NA,NA,23,NA,3,1,3,NA,NA,NA,NA,4,NA,22,20,15,NA,NA,NA,NA,22,NA,"2026-06-28_VXBCX","CA"
"Men","Men60-69","DAVE FARROW",747.628,NA,2212.486,NA,NA,4461.425,25,31,13,NA,NA,NA,NA,21,NA,4,3,2,NA,NA,NA,NA,3,NA,23,25,12,NA,NA,NA,NA,20,NA,"2026-06-28_VXBCX","CA"
"Men","Men50-59","ERNIE LATIF",710.556,NA,2360.102,NA,NA,4490.984,26,27,22,NA,NA,NA,NA,26,NA,7,7,7,NA,NA,NA,NA,7,NA,24,22,21,NA,NA,NA,NA,24,NA,"2026-06-28_VXBCX","CA"
"Men","Men40-49","STUART CULLEN",681.344,NA,2397.951,NA,NA,4536.101,27,21,26,NA,NA,NA,NA,27,NA,8,8,8,NA,NA,NA,NA,8,NA,25,17,25,NA,NA,NA,NA,25,NA,"2026-06-28_VXBCX","CA"
"Women","Women50-59","KARRI BECK",693.116,NA,2468.311,NA,NA,4597.293,28,24,28,NA,NA,NA,NA,28,NA,1,1,1,NA,NA,NA,NA,1,NA,3,5,3,NA,NA,NA,NA,3,NA,"2026-06-28_VXBCX","CA"
"Women","Women20-29","CORI MACSAI",611.248,NA,2710.068,NA,NA,4606.727,29,6,40,NA,NA,NA,NA,29,NA,2,1,4,NA,NA,NA,NA,2,NA,4,1,9,NA,NA,NA,NA,4,NA,"2026-06-28_VXBCX","CA"
"Women","Women20-29","JULIA SILANO",658.882,NA,2512.023,NA,NA,4714.727,30,15,30,NA,NA,NA,NA,30,NA,3,3,2,NA,NA,NA,NA,3,NA,5,4,4,NA,NA,NA,NA,5,NA,"2026-06-28_VXBCX","CA"
"Men","Men60-69","PAUL GARAND",3224.469,NA,NA,NA,NA,4838.881,31,70,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,26,44,NA,NA,NA,NA,NA,NA,NA,"2026-06-28_VXBCX","CA"
"Women","Women40-49","KARYN PEDERSEN",712.468,NA,2717.256,NA,NA,4842.987,32,28,41,NA,NA,NA,NA,32,NA,2,2,3,NA,NA,NA,NA,2,NA,6,6,10,NA,NA,NA,NA,7,NA,"2026-06-28_VXBCX","CA"
"Women","Women30-39","KATIE CLARK",792.181,NA,2629.918,NA,NA,4906.222,33,35,32,NA,NA,NA,NA,31,NA,1,1,1,NA,NA,NA,NA,1,NA,7,8,6,NA,NA,NA,NA,6,NA,"2026-06-28_VXBCX","CA"
"Men","Men50-59","JEFF MIDDEL",683.847,NA,2948.346,NA,NA,5001.545,34,22,52,NA,NA,NA,NA,38,NA,8,6,15,NA,NA,NA,NA,12,NA,27,18,37,NA,NA,NA,NA,30,NA,"2026-06-28_VXBCX","CA"
"Men","Men50-59","RICHARD KING",778.078,NA,2659.517,NA,NA,5101.845,35,33,38,NA,NA,NA,NA,37,NA,9,9,11,NA,NA,NA,NA,11,NA,28,27,30,NA,NA,NA,NA,29,NA,"2026-06-28_VXBCX","CA"
