"GENDER","CATEGORY","ATHLETE","RESULT_SPORT_1","RESULT_T_1","RESULT_SPORT_2","RESULT_T_2","RESULT_SPORT_3","RESULT_FINAL","RANKING_OVERALL","RANKING_OVERALL_SPORT_1","RANKING_OVERALL_SPORT_2","RANKING_OVERALL_SPORT_3","RANKING_OVERALL_T_1","RANKING_OVERALL_T_2","RANKING_OVERALL_AFTER_T_1","RANKING_OVERALL_AFTER_SPORT_2","RANKING_OVERALL_AFTER_T_2","RANKING_CATEGORY","RANKING_CATEGORY_SPORT_1","RANKING_CATEGORY_SPORT_2","RANKING_CATEGORY_SPORT_3","RANKING_CATEGORY_T_1","RANKING_CATEGORY_T_2","RANKING_CATEGORY_AFTER_T_1","RANKING_CATEGORY_AFTER_SPORT_2","RANKING_CATEGORY_AFTER_T_2","RANKING_GENDER","RANKING_GENDER_SPORT_1","RANKING_GENDER_SPORT_2","RANKING_GENDER_SPORT_3","RANKING_GENDER_T_1","RANKING_GENDER_T_2","RANKING_GENDER_AFTER_T_1","RANKING_GENDER_AFTER_SPORT_2","RANKING_GENDER_AFTER_T_2","RACE_ID","COUNTRY"
"Men","Men40-49","MARK DANYLUK",1193.398,63.608,2028.224,57.503,557.586,3900.319,1,6,1,3,11,10,5,1,1,1,1,1,1,2,1,1,1,1,1,6,1,3,8,7,5,1,1,"2026-08-29_PVHBM","CA"
"Men","Men0-19","NOAH LENGYEL",1189.571,87.936,2200.624,42.63,563.068,4083.829,2,4,8,4,31,2,6,4,4,1,4,1,3,4,1,4,1,1,2,4,6,4,19,1,6,4,4,"2026-08-29_PVHBM","CA"
"Men","Men40-49","ADRIAN JOSEPH",1242.12,53.695,2133.117,61.76,618.45,4109.142,3,9,4,7,2,14,7,3,3,2,3,2,2,1,2,2,2,2,3,9,4,6,2,10,7,3,3,"2026-08-29_PVHBM","CA"
"Women","Women50-59","KARRI BECK",1291.036,79.212,2191.782,63.135,618.825,4243.99,4,11,6,8,24,15,10,8,7,1,1,1,1,3,2,1,1,1,1,2,2,2,10,5,2,2,1,"2026-08-29_PVHBM","CA"
"Women","Women40-49","JENN FRAYNE",1332.825,71.463,2157.616,70.728,642.529,4275.161,5,13,5,10,16,20,12,7,8,1,1,1,2,1,2,1,1,1,2,4,1,4,6,6,3,1,2,"2026-08-29_PVHBM","CA"
"Men","Men60-69","DAVE FARROW",1413.268,53.721,2074.783,54.331,683.288,4279.391,6,20,2,19,3,6,16,6,5,1,1,1,2,1,1,1,1,1,4,12,2,11,3,4,11,6,5,"2026-08-29_PVHBM","CA"
"Men","Men0-19","LEROY DELLOW",1144.939,45.423,2518.333,56.119,528.449,4293.263,7,2,32,1,1,7,1,11,11,2,2,2,1,1,4,1,2,2,5,2,21,1,1,5,1,8,8,"2026-08-29_PVHBM","CA"
"Men","Men0-19","NOAH LENIX",1143.629,60.13,2559.647,53.809,528.483,4345.698,8,1,36,2,7,5,2,13,12,3,1,3,2,2,3,2,3,3,6,1,23,2,6,3,2,9,9,"2026-08-29_PVHBM","CA"
"Men","Men50-59","MARK TROTTER",1339.971,73.59,2278.983,61.407,647.202,4401.153,9,14,15,12,17,12,14,10,10,1,2,2,2,2,1,2,1,1,7,10,11,7,11,8,10,7,7,"2026-08-29_PVHBM","CA"
"Women","Women50-59","DEBBIE WHEELER",1330.871,78.076,2258.424,84.59,649.243,4401.204,10,12,13,13,21,32,13,9,9,2,2,2,2,2,3,2,2,2,3,3,4,6,8,11,4,3,3,"2026-08-29_PVHBM","CA"
"Men","Men30-39","NORBERT LENGYEL",1191.939,59.428,2111.497,64.817,1036.901,4464.582,11,5,3,71,6,16,4,2,2,1,1,1,3,2,3,1,1,1,8,5,3,37,5,11,4,2,2,"2026-08-29_PVHBM","CA"
"Women","Women30-39","KATIE CLARK",1386.451,67.419,2400.602,71.758,644.09,4570.32,12,17,22,11,13,21,15,17,17,1,2,1,2,2,2,2,1,1,4,6,8,5,4,7,5,6,6,"2026-08-29_PVHBM","CA"
"Men","Men50-59","PETER KRAFT",1468.414,67.453,2241.074,65.718,734.88,4577.539,13,28,11,30,14,17,23,14,13,2,4,1,4,1,2,3,2,2,9,17,8,16,10,12,14,10,10,"2026-08-29_PVHBM","CA"
"Men","Men40-49","MICHAEL SHAY",1220.061,110.383,2196.175,81.301,978.98,4586.9,14,7,7,69,48,30,8,5,6,3,2,3,7,6,5,3,3,3,10,7,5,36,27,20,8,5,6,"2026-08-29_PVHBM","CA"
"Women","Women40-49","AINE MCGLYNN",1418.667,120.679,2223.948,101.224,735.787,4600.305,15,22,10,32,58,47,24,12,14,2,3,2,3,9,8,3,2,2,5,9,3,15,27,19,10,4,4,"2026-08-29_PVHBM","CA"
"Women","Women50-59","ANGELA GERVASE",1426.208,62.494,2353.685,60.057,700.304,4602.748,16,23,18,23,9,11,20,16,15,3,4,3,4,1,1,4,3,3,6,10,5,10,3,4,9,5,5,"2026-08-29_PVHBM","CA"
"Men","Men60-69","DENYS OUELLET",1417.329,94.252,2377.429,78.641,667.718,4635.369,17,21,21,14,35,26,21,20,19,2,2,4,1,4,4,2,3,3,11,13,14,8,21,16,12,14,13,"2026-08-29_PVHBM","CA"
"Men","Men40-49","MICHAEL CAI",1481.621,87.647,2259.706,79.132,735.082,4643.188,18,31,14,31,29,28,30,15,16,4,5,4,3,4,4,5,4,4,12,20,10,17,18,18,19,11,11,"2026-08-29_PVHBM","CA"
"Women","Women30-39","ERIN O'SHAUGHNESSY",1271.537,60.513,2729.416,56.911,600.979,4719.356,19,10,59,6,8,9,9,26,25,2,1,2,1,1,1,1,2,2,7,1,25,1,2,3,1,9,9,"2026-08-29_PVHBM","CA"
"Men","Men60-69","PAUL GARAND",1515.838,140.612,2211.424,92.341,761.38,4721.595,20,34,9,41,66,40,39,18,18,3,3,2,5,13,7,4,2,2,13,21,7,23,36,24,23,12,12,"2026-08-29_PVHBM","CA"
"Men","Men40-49","MARK SCHMIDT",1462.034,100.853,2320.504,89.606,757.779,4730.776,21,26,17,39,38,38,28,19,20,5,4,5,4,5,6,4,5,5,14,15,13,21,22,22,17,13,14,"2026-08-29_PVHBM","CA"
"Women","Women40-49","JEN EMO",1378.039,101.074,2542.528,84.84,633.937,4740.418,22,15,33,9,39,33,18,25,24,3,2,4,1,8,5,2,3,3,8,5,12,3,17,12,7,8,8,"2026-08-29_PVHBM","CA"
"Men","Men30-39","SPENCER DAVIAU",1463.656,58.393,2482.395,56.655,704.161,4765.26,23,27,30,25,5,8,22,23,22,2,2,2,1,1,1,2,2,2,15,16,20,15,4,6,13,16,16,"2026-08-29_PVHBM","CA"
"Men","Men70-79","PAUL MULDOON",1562.116,109.124,2247.664,95.836,758.717,4773.457,24,42,12,40,46,43,43,21,21,1,1,1,1,2,2,1,1,1,16,24,9,22,25,26,26,15,15,"2026-08-29_PVHBM","CA"
"Women","Women20-29","LAUREN WALKER",1508.899,102.624,2365.556,86.837,709.872,4773.788,25,33,20,27,41,36,32,22,23,1,3,1,3,2,2,3,1,1,9,13,7,12,19,15,13,7,7,"2026-08-29_PVHBM","CA"
